t,LeadStep,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,RowID
2019-01-03,1,0.0031399516,-0.002858643,-0.005783451,-0.002356595,0.0144333984,-0.00864377,0.0060516985,0.0066916095,-0.007920841,-0.006088171,0.0010598744,1
2019-01-04,1,0.0022094142,-0.004503316,-0.006223545,-0.005247867,0.0081145841,-0.008241123,0.004268618,0.006843935,-0.007678288,-0.005184164,0.0007136602,2
2019-01-07,1,0.0023481958,-0.002564149,-0.004266259,-0.003576673,0.0073470047,-0.006290258,0.0078303286,0.0076276209,-0.00693471,-0.001448161,-0.00089835,3
2019-01-08,1,0.0022140141,-0.002150788,-0.003922523,-0.004182142,0.0093795658,-0.008943247,0.0035154666,0.0070123502,-0.009646226,-0.003590857,-0.000999958,4
2019-01-09,1,0.0020961013,0.0001611322,-0.004348578,-0.002927596,0.0094793017,-0.006986098,0.0031686885,0.0065830877,-0.006560765,-0.003265467,0.000630947,5
2019-01-10,1,0.001782625,-0.000779136,-0.001832858,-0.003441907,0.0085635636,-0.007694942,0.0044699853,0.0072285056,-0.00708375,-0.00471379,0.0006107856,6
2019-01-11,1,0.0012614601,-0.001519902,-0.002507001,-0.001741089,0.0079553128,-0.005601635,0.0042356685,0.0045795821,-0.005706213,-0.002741917,-0.002266475,7
2019-01-14,1,0.001297585,0.0006572803,-0.004425104,-0.002300846,0.0101494081,-0.006369151,0.0051926696,0.0061680599,-0.006951038,-0.00178745,-0.001333759,8
2019-01-15,1,0.0018735445,-0.000206992,-0.003903649,-0.002082681,0.0087315721,-0.006098766,0.0052433302,0.0060516521,-0.005531717,-0.002268726,-0.000808941,9
2019-01-16,1,0.0036533391,-0.000677605,-0.002648787,-0.002990822,0.0091476911,-0.005488835,0.0069519547,0.0048025416,-0.005761877,-0.000893066,-0.000591352,10
2019-01-17,1,0.0025803934,-0.001476407,-0.002285185,-0.002670917,0.007323345,-0.006900002,0.0049132503,0.0054467289,-0.005298413,-0.002212005,-0.000756254,11
2019-01-18,1,0.0032724355,-0.000608733,-0.002837104,-0.001711043,0.0068773915,-0.006090433,0.0037939016,0.0044986802,-0.005996836,-0.001055226,-0.000542401,12
2019-01-22,1,0.002952596,0.000062456,-0.002643354,-0.00235267,0.0083965961,-0.005751888,0.0048786551,0.0049300289,-0.005974787,-0.001110973,-0.00125756,13
2019-01-23,1,0.0025222281,-0.000633714,-0.001460327,-0.002046003,0.0057926828,-0.005037036,0.0054617908,0.0043270516,-0.005226527,-0.000688521,-0.000924417,14
2019-01-24,1,0.0023813783,-0.000090774,-0.001554351,-0.001353206,0.0063944071,-0.005261856,0.0054622574,0.005634526,-0.006036716,-0.002298278,-0.000706425,15
2019-01-25,1,0.0026242823,0.0000999128,-0.001368069,-0.002113679,0.0060793663,-0.00509358,0.0055701206,0.0044011055,-0.005057401,-0.000979852,-0.000042627,16
2019-01-28,1,0.0024049223,-0.000985732,-0.002051816,-0.001980607,0.0059487339,-0.004027542,0.0049123324,0.0037801315,-0.00541487,0.0002515027,-0.000264261,17
2019-01-29,1,0.0026824296,-0.001075731,-0.001180424,-0.002986764,0.0064657673,-0.005567786,0.005908254,0.0037999324,-0.003836367,0.0005787303,0.0005939579,18
2019-01-30,1,0.0024822826,-0.001573674,-0.001933581,-0.002318749,0.00569509,-0.004867985,0.0051575776,0.0039905473,-0.004762958,0.0007603491,-0.000552954,19
2019-01-31,1,0.0025871978,-0.000119757,-0.001907277,-0.001398477,0.0066483795,-0.004804794,0.0059177367,0.0043892958,-0.004002522,-0.000587881,0.0009474918,20
2019-02-01,1,0.0026349394,-0.000132923,-0.001840721,-0.00201224,0.0058932547,-0.004788469,0.005865709,0.0033431967,-0.003729145,0.000791908,0.0009300538,21
2019-02-04,1,0.0027094363,-0.000276164,-0.001324683,-0.002519563,0.0065507434,-0.005253223,0.0042333228,0.0033491608,-0.004678947,-0.00012773,-0.000731699,22
2019-02-05,1,0.002578494,0.0004240555,-0.001880095,-0.00251852,0.0052173801,-0.004752928,0.0043060915,0.0035083715,-0.00482426,0.0015896951,0.0003864252,23
2019-02-06,1,0.0025073827,0.0004414154,-0.001413469,-0.002042689,0.0057131609,-0.003611974,0.0050853597,0.0031015975,-0.004552075,0.0013182752,-0.000118564,24
2019-02-07,1,0.0025465745,-0.000136515,-0.001718114,-0.001853399,0.0045902242,-0.004485562,0.0054165026,0.003303528,-0.003243157,0.0015333242,0.0005050421,25
2019-02-08,1,0.0030010428,-0.000721151,-0.00180736,-0.002254848,0.0053673681,-0.00389284,0.0055357354,0.003434095,-0.003427442,0.0017667102,0.0002168637,26
2019-02-11,1,0.0030383706,-0.000285492,-0.000764214,-0.002513399,0.0050301124,-0.004139492,0.0048494809,0.0037559901,-0.002883076,0.0023736534,0.0002040014,27
2019-02-12,1,0.0028588089,-0.000531118,-0.001268729,-0.00272456,0.0052128923,-0.004033413,0.0050329627,0.0033765934,-0.003143651,0.0021250076,0.0005079155,28
2019-02-13,1,0.0027345892,0.0000567831,-0.000797747,-0.002321184,0.0049426992,-0.004576108,0.00560275,0.0031151435,-0.002627095,0.0014324228,0.000587571,29
2019-02-14,1,0.0028530989,0.0003480583,-0.000479239,-0.001991735,0.0050552173,-0.004602595,0.0051010317,0.0032931424,-0.003265375,0.001968451,0.0009427567,30
